stream,step,processed,exact,est,est_packed
0,1,10000,7298,7295.975697,7295.975697
0,2,20000,14519,14574.903752,14574.903752
0,3,30000,21834,21886.263125,21886.263125
0,4,40000,29090,28933.681987,28933.681987
0,5,50000,36310,35851.000916,35851.000916
0,6,60000,43590,44078.623543,44078.623543
0,7,70000,50777,50824.485486,50824.485486
0,8,80000,57933,57565.579830,57565.579830
0,9,90000,65015,64639.715579,64639.715579
0,10,100000,72040,71623.720531,71623.720531
0,11,110000,79158,78774.706398,78774.706398
0,12,120000,86257,85480.317262,85480.317262
0,13,130000,93378,93068.794486,93068.794486
0,14,140000,100508,100072.929699,100072.929699
0,15,150000,107633,106932.674269,106932.674269
0,16,160000,114697,114029.332708,114029.332708
0,17,170000,121760,120816.251051,120816.251051
0,18,180000,128921,127604.674270,127604.674270
0,19,190000,136047,134468.356577,134468.356577
0,20,200000,143122,141698.072520,141698.072520
1,1,10000,7386,7419.759196,7419.759196
1,2,20000,14640,14630.984170,14630.984170
1,3,30000,21836,21753.690445,21753.690445
1,4,40000,28985,28799.744152,28799.744152
1,5,50000,36146,35842.084453,35842.084453
1,6,60000,43167,44198.424340,44198.424340
1,7,70000,50339,50867.180426,50867.180426
1,8,80000,57574,58351.169157,58351.169157
1,9,90000,64729,65496.471940,65496.471940
1,10,100000,71835,72762.184667,72762.184667
1,11,110000,79003,79358.432197,79358.432197
1,12,120000,86166,86436.713117,86436.713117
1,13,130000,93295,93864.640592,93864.640592
1,14,140000,100338,101158.663938,101158.663938
1,15,150000,107436,108788.483139,108788.483139
1,16,160000,114469,115560.361498,115560.361498
1,17,170000,121508,122708.135236,122708.135236
1,18,180000,128605,129454.137649,129454.137649
1,19,190000,135678,136867.948828,136867.948828
1,20,200000,142714,143076.540667,143076.540667
2,1,10000,7317,7311.592894,7311.592894
2,2,20000,14524,14599.262960,14599.262960
2,3,30000,21733,21867.258367,21867.258367
2,4,40000,28981,29258.479071,29258.479071
2,5,50000,36194,36376.638917,36376.638917
2,6,60000,43291,44152.639409,44152.639409
2,7,70000,50420,50977.541249,50977.541249
2,8,80000,57615,57593.550448,57593.550448
2,9,90000,64796,64883.366296,64883.366296
2,10,100000,71901,71679.735259,71679.735259
2,11,110000,79068,78768.224255,78768.224255
2,12,120000,86146,86200.762092,86200.762092
2,13,130000,93317,93934.744259,93934.744259
2,14,140000,100387,100769.092391,100769.092391
2,15,150000,107529,107568.342296,107568.342296
2,16,160000,114688,115237.144370,115237.144370
2,17,170000,121749,122614.189870,122614.189870
2,18,180000,128714,129704.320607,129704.320607
2,19,190000,135795,136536.296785,136536.296785
2,20,200000,142853,143638.794447,143638.794447
